縣市,鄉鎮,名字,description,描述,營地數量,營地價錢
新竹縣,橫山鄉,落羽松草坪露營區露營區,http://evshhips.pixnet.net/blog/post/311271402 ,        有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,後龍鎮,藍天綠地露營區,http://evshhips.pixnet.net/blog/post/309728925 ,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新北市,貢寮區,虫二露營區,http://evshhips.pixnet.net/blog/post/233512099 ,                    有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
桃園市,蘆竹區,32後花園露營區,http://evshhips.pixnet.net/blog/post/307762176,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
苗栗縣,獅潭鄉,逐露獅潭鄉露營區,http://evshhips.pixnet.net/blog/post/306945036,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,五峰鄉,雲頂杉林露營區,http://evshhips.pixnet.net/blog/post/306351774,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,3,500
新竹縣,尖石鄉,霧津山林露營區,http://evshhips.pixnet.net/blog/post/305437188 ,                有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
新竹縣,五峰鄉,紫色的家露營區,http://evshhips.pixnet.net/blog/post/304565949,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,500
苗栗縣,泰安鄉,綠背包親子露營區,http://evshhips.pixnet.net/blog/post/303608481,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,五峰鄉,天闊營地,http://evshhips.pixnet.net/blog/post/297235070,                       有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,南庄鄉,喝納灣露營區,http://evshhips.pixnet.net/blog/post/292884973,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,南庄鄉,哈洛客露營區,http://evshhips.pixnet.net/blog/post/288767941,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,三義鄉,石濤園露營區,http://evshhips.pixnet.net/blog/post/281915503,                   有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新竹縣,尖石鄉,怪獸森林露營區,http://evshhips.pixnet.net/blog/post/279877246,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,泰安鄉,瓦浪露谷露營區,http://evshhips.pixnet.net/blog/post/273727060,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,泰安鄉,樂沐絲莊園露營區,http://evshhips.pixnet.net/blog/post/273460657,               有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
苗栗縣,銅鑼鄉,客家小院露營區,http://evshhips.pixnet.net/blog/post/268955608,                 有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
新北市,金山區,金山區青年活動中心,http://evshhips.pixnet.net/blog/post/267632797,             有收集雨水之儲水設備，枯水期不穩定，有簡易太陽能照明。有坑洞式廁所。住宿山屋者，請自備過夜及睡眠裝備。,5,250
