name,description,advice,traffic,npName,img_url
南湖中央尖線(北一段),南湖山區屬太魯閣國家公園管理處所轄之生態保護區，入山前請先向本處遊憩服務課辦理申請進入生態保護區之許可。南湖山區位於中央山脈最北段，南與中央尖山連稜並峙；其中南湖大山位居五嶽(玉山、雪山、南湖大山、秀姑巒山、北大武山)之北嶽，中央尖山亦為三尖(中央尖、大霸尖、達芬尖)之首。冬季時，南湖山區常為白雪覆蓋，積雪難行，冬季攀登南湖山區者應特別小心。,第一天思源埡口→6.8K登山口→木杆鞍部→雲稜山屋第二天雲稜山屋→審馬陣登山口→審馬陣山→審馬陣登山口→南湖北山岔口→南湖北山→南湖北山岔口→南湖北峰→南湖山屋第三天南湖山屋→南湖東峰→陶塞峰→馬比杉山→陶塞木屋舊址→南湖山屋第四天南湖山屋→南湖主南峰岔口→南湖大山→南湖主南峰岔口→南湖南峰岔口→南湖南峰→巴巴山→南湖南峰→南湖南峰岔口→中央尖溪木屋第五天中央尖溪木屋→中央尖山鞍部→中央尖山→中央尖山鞍部→中央尖溪木屋第六天中央尖溪木屋→舊香菇寮→南湖溪木屋第七天南湖溪木屋→木杆鞍部→6.8K登山口→思源埡口,中橫公路宜蘭支線，再轉進710林道。思源埡口即有登山入口之規劃設計，非常醒目；亦可從勝光(張良橋)進入，經果園接710林道4.6k苗圃處(該果園為私人用地請勿私自進入)。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_04%E5%8D%97%E6%B9%96%E4%B8%AD%E5%A4%AE%E5%B0%96%E7%B7%9A(%E5%8C%97%E4%B8%80%E6%AE%B5).jpg
南湖大山線,南湖山區屬太魯閣國家公園管理處所轄之生態保護區，入山前請先向本處遊憩服務課辦理申請進入生態保護區之許可。南湖山區位於中央山脈最北段，南與中央尖山連稜並峙；其中南湖大山位居五嶽(玉山、雪山、南湖大山、秀姑巒山、北大武山)之北嶽，中央尖山亦為三尖(中央尖、大霸尖、達芬尖)之首。冬季時，南湖山區常為白雪覆蓋，積雪難行，冬季攀登南湖山區者應特別小心。,第一天思源埡口→6.8K登山口→木杆鞍部→雲稜山屋第二天雲稜山屋→審馬陣登山口→審馬陣山→審馬陣登山口→南湖北山岔口→南湖北山→南湖北山岔口→南湖北峰→南湖山屋第三天南湖山屋→南湖東峰→陶塞峰→馬比杉山→陶塞木屋舊址→南湖山屋第四天南湖山屋→南湖主南峰岔口→南湖大山→南湖主南峰岔口→南湖山屋→南湖北峰→南湖北山岔口→審馬陣登山口→雲稜山屋第五天雲稜山屋→木杆鞍部→6.8K登山口→思源埡口,中橫公路宜蘭支線，再轉進710林道。思源埡口即有登山入口之規劃設計，非常醒目；亦可從勝光(張良橋)進入，經果園接710林道4.6k苗圃處(該果園為私人用地請勿私自進入)。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_05%E5%8D%97%E6%B9%96%E5%A4%A7%E5%B1%B1%E7%B7%9A.jpg
北二段,北二O形縱走取道730林道，先登閂山宿25k工寮，隔日登鈴鳴山趕路直登無明山下切無明水池，第三日過鬼門關斷崖於甘藷南峰輕裝往返甘藷峰後下耳無溪營地，最後一天上切回730林道下山。,第一天清泉橋→11.7K→17.5K登山口→23.2k登山口→閂山→23.2k登山口→25K工寮第二天25K工寮→27K登山口→鈴鳴山→鈴鳴東鞍營地第三天鈴鳴東鞍營地→無明西峰→無明山→無明水池營地第四天無明水池營地→鬼門關斷崖→甘薯南峰營地→甘薯峰→甘薯南峰營地→遠多志山→耳無溪營地第五天耳無溪營地→17.5K登山口→11.7K→清泉橋,台七甲線64.2K至環山橋左轉，經730林道2K處環山檢查哨進入。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_06%E5%8C%97%E4%BA%8C%E6%AE%B5.jpg
畢祿縱走羊頭,畢祿羊頭縱走沿途都有很好的點可以讓愛好攝影的山友盡情地捕捉高山美景，不論是畢祿山基點、畢祿稜線營地、還是鋸山山頂、及羊頭山基點、展望都是一級棒的！北有北一、北二段；南則有奇萊東稜，等著你來拍(看)!!準備好裝備，練練腳力，蒼芎任你遊。,第一天820林道登山口→8.2K工寮→登山口營地→畢祿山主稜岔路口→畢祿山→畢祿山主稜岔路口→鋸齒連峰→鋸山東峰前營地第二天鋸山東峰前營地→羊頭山主稜岔路口→羊頭山→羊頭山主稜岔路口→羊頭山登山口,畢祿羊頭縱走可由太魯閣走台8線，到達慈恩的登山口上稜線，由羊頭經鋸齒群峰到畢祿山，另由合歡隧道口旁的820林道起程,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_07%E7%95%A2%E7%A5%BF%E7%B8%B1%E8%B5%B0%E7%BE%8A%E9%A0%AD.jpg
畢祿山單攻,第一天820林道登山口→8.2K工寮→登山口營地第二天登山口營地→畢祿山主稜岔路口→畢祿山→畢祿山主稜岔路口→登山口營地→8.2K工寮→820林道登山口,,大禹嶺的合歡山隧道西側廢棄建築物遺跡，開車約140分鐘可達8K工寮，8.2K處有規模甚大的崩谷，向下即可接往林道。從太魯閣走台8線到了大禹嶺，往北走過了合歡山隧道即可到達畢祿山單攻線。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_08%E7%95%A2%E7%A5%BF%E5%B1%B1%E5%96%AE%E6%94%BB.jpg
羊頭山單攻,第一天羊頭山登山口→羊頭山主稜岔路口→羊頭山→羊頭山主稜岔路口→羊頭山登山口,,入口位於台8線中橫公路133.1K處，慈恩隧道與明隧道間的谷側。從太魯閣走台8線到了慈恩 ，往北走即可到達羊頭山單攻線。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_09%E7%BE%8A%E9%A0%AD%E5%B1%B1.jpg
玉山群峰線,玉山群峰包括有玉山主峰、前峰、西峰、北峰、東峰、北北峰、南峰、鹿山、東小南山、小南山、南玉山等十一連峰，其排列是以玉山主峰為中心成雙十字狀交叉分布，除北北峰及小南山外，其餘皆為百岳名山，不僅是登山者所嚮往，且玉山主峰更是國內外熱門登山路線。本步道自塔塔加登山口起全程約45.6公里，均在海拔三千公尺以上，登山者需具備豐富之登山知識、技術及體力、耐力；尤其是玉山主峰高聳雲霄、玉山東峰岩峰陡峭及鹿山路程遙遠，更極富挑戰及冒險性。玉山山塊號稱台灣之屋脊，有如龍背在臥，山容壯麗，氣勢雄渾。本路線自玉山西稜末端的塔塔加鞍部向東蜿蜒而上，沿途可見到林相隨海拔高度而有不同的變化，依序可見到雲杉、鐵杉、冷杉、玉山圓柏、玉山杜鵑等植物，更可見到許多高山草花植物，不畏高山環境的嚴苛，在路旁繽紛搖曳。另外西峰頂古老的山神廟、山下大片白木林及大峭壁、主峰風口的碎石坡、小南山的草坡及北鞍的杜鵑花海，均為本路線景觀之特色；同時每到冬季玉山群峰頂均覆蓋著皚皚白雪，美不勝收。,第一天塔塔加登山口(8.5K) →排雲山莊第二天排雲山莊(2.4K) →玉山主峰(10.9K) →塔塔加登山口玉山北鞍下八通關步道約3.2公里處（過荖濃斷崖），因受豪雨影響崩塌，無路基可循；基於安全考量，暫時封閉此路線。第一天塔塔加登山口(8.5K) →排雲山莊第二天排雲山莊(2.4K) →玉山主峰(1.8K) →荖濃營地(4.2K) →八通關(11.6K) →樂樂山屋第三天樂樂山屋(5.5K) →東埔登山口第一天塔塔加登山口(2.7K) →前峰登山口(0.8K) →玉山前峰(5.8K) →排雲山莊第二天排雲山莊(0.7K) →往南峰叉路口(1.5K) →圓峰山屋(5K) →南玉山(5.5k) →圓峰山屋第三天圓峰山屋(1.7K) →玉山南峰(1.1K) →東小南山(4K) →鹿山(6.5k) →圓峰山屋第四天圓峰山屋(1.2K) →往南峰叉路口(1.7K) →玉山主峰(1.5K) →玉山東峰(3.5K) →玉山北峰(4.8K) →排雲山莊第五天排雲山莊(2.5K) →玉山西峰(11K) →塔塔加登山口,從東埔登山口：南投水里搭乘員林客運班車或自行開車沿台21號新中橫公路到和社左轉至東埔溫泉，到東埔溫泉後，步行30分鐘至東埔登山口。 從塔塔加登山口：嘉義搭乘阿里山森林火車或嘉義縣客運班車或自行開車至阿里山後，再雇車或自行開車沿台18線阿里山公路至塔塔加；或自行開車沿台21線新中橫公路至塔塔加後，再步行至塔塔加登山口。[玉山園區聯外道路路況]，敬請出發前先與公路單位或玉管處各遊客中心聯繫。 台18線阿里山公路- 嘉太工務所05-2772800 或 阿里山工務段 05-2592428 台21線新中橫公路-信義工務段049-2791510 或 新中橫監工站049-2702033中級登山步道。 洽詢單位及電話：玉山主(群)峰線：排雲管理站，049-2702228,玉山國家公園,https://npm.cpami.gov.tw/images/map/ys_01master.png
馬博拉斯橫斷線,本路線為一條高級登山步道，在登山界亦是一條長程且為登百岳必走的路線，行經玉山國家公園園區最北端，步道自南投東埔登山口入口到花蓮玉里林道玉林橋出口約84.7公里，可通達園區東、北側各山區，步道沿著中央山脈稜線而走，沿線自然資源豐富，除了因山高路陡，屏障性較大外，稜線上斷崖嶙峋，極富地形地質景觀與挑戰性；雖有步道系統，但步徑較差，必須有完整之登山裝備、充沛之體力、耐力，以及豐富登山知識，方可從此登山活動。本路線沿著中央山脈稜線而走，途經中央山脈第一高峰秀姑巒山及第二高峰馬博拉斯山，且因中央山脈受地殼強力推擠，產生劇烈扭曲，形成多處險峻斷崖；馬博拉斯山至馬利亞文路山須經險惡的烏拉孟斷崖、馬利加南山附近更是危崖遍布，西有馬利亞文斷崖、馬利加南東峰至馬布谷間有塔比拉斷崖等斷崖地質景觀。另馬布谷及太平谷，地勢廣大平坦，綠草如茵，兩側林木蒼翠，為台灣高山中罕見的幽谷。,本條路線為一長程登山步道，往南在秀姑坪接八通關日治越道至東埔登山口，一般行程約需七日時間，若要順登駒盆山則須在馬博拉斯山屋多宿營一日。第一天東埔(5.5K) →樂樂山屋第二天樂樂山屋(11.6K) → 八通關(3.5K) → 巴奈伊克(2.5k) →中央金礦山屋(3.3K) →白洋金礦山屋第三天白洋金礦山屋(0.5K) → 秀姑坪(2K) → 秀姑巒山(2K) →秀馬鞍部(1.5K) →馬博拉斯山屋第四天馬博拉斯山屋(0.3K) → 馬博拉斯山(5.4K) → 駒盆山(5.7K) →馬博拉斯山屋第五天馬博拉斯山屋(3.5K) → 馬利亞文路山(3.8K) → 馬利加南山(2.7K) →馬利加南東峰前山屋第六天馬利加南東峰前山屋(0.2K) → 馬利加南東峰(5.6K) →馬布谷山屋第七天馬布谷山屋(2.5K) →馬西山(4.7K) →喀西帕山(1.5K) →太平谷(2K) →玉里林道43K工寮第八天玉里林道43K工寮 →溪底營地→玉里林道14K 行車終點,本路線為單向步道，登山口分別位於南投東埔及花蓮玉里林道玉林橋等兩地，聯外交通以此兩處附近狀況為主。 東埔登山口可由南投水里沿台21線公路到和社後轉往東埔始可抵達，在水里亦有員林客運班車往返東埔。 玉里林道玉林橋登山口位處偏僻交通不便，皆以僱車方式抵達，一般車輛僅能到中平村中平檢查哨，而四輪傳動之登山車可到玉里林19公里造林工寮，自此以後則須以步行抵達。[玉山園區聯外道路路況]，敬請出發前先與公路單位或玉管處各遊客中心聯繫。 台21線新中橫公路-信義工務段049-2791510或新中橫監工站049-2702033 台9線花東公路-花蓮工務段03-8230570，台東工務段089-325073高級登山步道。 [登山路線路況]洽詢單位及電話： 西段：東埔~馬博拉斯山、駒盆山：塔塔加管理站，049-2702200 東段：佳心~大水窟段：南安管理站，03-8887560 (大分至大水窟段尚未開放。土葛至大水窟因地基流失、崩塌嚴重。),玉山國家公園,https://npm.cpami.gov.tw/images/map/ys_02%E9%A6%AC%E5%8D%9A%E6%8B%89%E6%96%AF%E6%A9%AB%E6%96%B7%E7%B7%9A.png
清水山,從步道口上到第二流籠頭約2.5K，陡升近700公尺至大禮部落，平緩行進至大同部落後沿砂卡礑林道至登山口，沿途崩塌路段皆架有繩索，登山口至清水山頂需上坡800餘公尺。若由大同下三間屋陡下400餘公尺，全程請注意膝蓋的保護。,第一天太管處→得卡倫步道→大禮部落叉路→大同部落→最後水源營地第二天最後水源營地→清水山→最後水源營地第三天最後水源營地→大同部落→大禮部落叉路→得卡倫步道→太管處,中橫公路至太魯閣，或砂卡礑步道停車場。登山口有二處：一是立霧發電所旁，沿大型供水管而上，二是太管處左側流籠索道旁陡上。回程可原路下山或下砂卡礑溪，沿神秘谷步道至中橫公路。,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_10%E6%B8%85%E6%B0%B4%E5%B1%B1.jpg
錐麓古道,太魯閣國家公園境內惟一的史蹟保存區－錐麓古道為合歡越嶺古道殘存遺跡。錐麓與福磯斷崖隔溪對峙，長約1.2公里，高約600公尺，幾乎全由大理岩構成，是太魯閣峽谷最壯麗的景觀。由於地理環境及法令因素，古道修復工作極為艱辛險峻，許多路段已崩毀，安全因素該路線封閉多年。國家公園管理處為保存該區之珍貴遺址，進行過相關之研究多篇。近年來，管理處為配合生態旅遊之推展並兼顧史蹟之保存工作，繼93年底完成古道自燕子口－巴達崗－大斷崖－紀念碑(斷崖駐在所舊址)路段修復工作外，全程亦陸續修復，並依入山入園申請之方式，提供山友之進入申請， 目前開放半程共計3.1公里。於該路線環境特殊，須有登山申請承載量管制之措施，目前係比照入園申請之方式請山友依規需申請入山及入園許可， 平日96人，例假日增加至156人，若遇有颱風、天災等不可抗力因素，管理處得視情形封閉該路線，該時段已申請之許可證將自動失效，若需進入需重新申請。【 近日錐麓古道2.8K有零星落石發生，行經該路段請快速通過勿逗留。】,東進東出3.1K原路折返錐麓吊橋→巴達岡駐在所→斷崖駐在所→巴達岡駐在所→錐麓吊橋,半程(開放0k至3.1k)採東進東出，即由燕子口步道東端之錐麓吊橋進出。 1、公車：可於花蓮火車站、新城(太魯閣)火車站、太魯閣遊客中心搭乘台灣好行(太魯閣線)客運公車，至燕子口站下車。班次時刻表請參閱官網http://www.taiwantrip.com.tw/　 2、自行開車：車輛請先停至溪畔安全帽發放處對面往布洛灣遊憩區方向的聯絡道路白線內，再步行至燕子口步道東端錐麓吊橋(約1公里)進入。 錐麓古道東端布洛灣遊憩區聯絡道停車空間 1、公車：可於花蓮火車站、新城(太魯閣)火車站、太魯閣遊客中心搭乘台灣好行(太魯閣線)客運公車，至燕子口站下車。班次時刻表請參閱官網http://www.taiwantrip.com.tw/　 2、自行開車：車輛請先停至溪畔安全帽發放處對面往布洛灣遊憩區方向的聯絡道路白線內，再步行至燕子口步道東端錐麓吊橋(約1公里)進入。 錐麓古道東端布洛灣遊憩區聯絡道停車空間,太魯閣國家公園,https://npm.cpami.gov.tw/images/map/tk_11%E9%8C%90%E9%BA%93%E5%8F%A4%E9%81%93.jpg
